,open,high,low,close,candlestick_pattern,candlestick_match_count
104,41019.66000000,41053.56000000,40918.29000000,40978.19000000,NO_PATTERN,0.0
105,40978.19000000,41009.82000000,40900.00000000,40913.13000000,NO_PATTERN,0.0
106,40913.13000000,40913.13000000,40816.48000000,40858.47000000,NO_PATTERN,0.0
107,40858.48000000,40900.78000000,40802.81000000,40807.80000000,NO_PATTERN,0.0
108,40809.81000000,40833.00000000,40800.00000000,40805.62000000,CDLMATCHINGLOW_Bull,6.0
109,40805.61000000,40906.29000000,40800.00000000,40874.89000000,CDLSEPARATINGLINES_Bull,3.0
110,40874.89000000,40980.00000000,40842.03000000,40938.00000000,CDL3OUTSIDE_Bull,1.0
111,40937.99000000,41045.13000000,40937.99000000,41002.79000000,CDLBELTHOLD_Bull,1.0
112,41010.76000000,41015.56000000,40960.30000000,40962.03000000,NO_PATTERN,0.0
113,40962.03000000,41028.52000000,40962.03000000,41019.47000000,CDLBELTHOLD_Bull,4.0
114,41019.47000000,41172.23000000,41018.46000000,41121.20000000,CDLBELTHOLD_Bull,1.0
115,41115.83000000,41118.42000000,41028.65000000,41061.45000000,CDLHARAMI_Bear,1.0
116,41061.44000000,41061.44000000,40991.45000000,41000.82000000,CDLCLOSINGMARUBOZU_Bear,5.0
117,41000.00000000,41002.97000000,40920.20000000,40924.89000000,CDLCLOSINGMARUBOZU_Bear,3.0
118,40924.90000000,40947.91000000,40881.25000000,40893.87000000,NO_PATTERN,0.0
119,40893.87000000,40999.99000000,40863.65000000,40988.15000000,NO_PATTERN,0.0
120,40986.10000000,40996.94000000,40909.99000000,40947.67000000,CDLHARAMI_Bear,1.0
121,40947.68000000,41025.51000000,40941.82000000,40973.28000000,CDLHIKKAKE_Bear,1.0
122,40972.75000000,40972.76000000,40906.69000000,40943.74000000,CDLHAMMER_Bull,1.0
123,40943.74000000,40943.74000000,40800.00000000,40830.20000000,CDLBELTHOLD_Bear,2.0
124,40829.64000000,40829.64000000,40706.50000000,40809.27000000,CDLHAMMER_Bull,1.0
125,40809.28000000,40920.88000000,40782.24000000,40800.05000000,CDLLONGLEGGEDDOJI_Bull,3.0
126,40800.04000000,40800.04000000,40702.12000000,40770.28000000,CDLHAMMER_Bull,1.0
127,40770.13000000,40850.00000000,40736.75000000,40740.69000000,CDLINVERTEDHAMMER_Bull,1.0
128,40740.70000000,40756.35000000,40653.07000000,40697.84000000,NO_PATTERN,0.0
129,40695.68000000,40774.24000000,40695.67000000,40738.21000000,NO_PATTERN,0.0
130,40738.21000000,40820.45000000,40738.21000000,40789.87000000,CDLBELTHOLD_Bull,1.0
131,40795.80000000,40881.63000000,40790.13000000,40799.74000000,CDLLONGLEGGEDDOJI_Bull,6.0
132,40799.73000000,40800.10000000,40365.81000000,40534.73000000,CDLEVENINGSTAR_Bear,4.0
133,40532.39000000,40652.48000000,40368.43000000,40448.89000000,NO_PATTERN,0.0
134,40448.89000000,40492.65000000,40243.55000000,40299.99000000,CDLHIKKAKE_Bull,1.0
135,40300.00000000,40414.02000000,40237.42000000,40310.27000000,CDLRICKSHAWMAN_Bull,7.0
136,40308.50000000,40454.24000000,40298.37000000,40350.59000000,NO_PATTERN,0.0
137,40350.60000000,40450.00000000,40342.59000000,40424.15000000,CDLBELTHOLD_Bull,1.0
138,40418.68000000,40508.36000000,40346.58000000,40449.74000000,CDLSPINNINGTOP_Bull,2.0
139,40439.38000000,40456.47000000,40344.52000000,40358.47000000,CDLCLOSINGMARUBOZU_Bear,3.0
140,40356.46000000,40482.27000000,40342.32000000,40433.64000000,NO_PATTERN,0.0
141,40433.64000000,40468.98000000,40413.03000000,40452.11000000,CDLLONGLEGGEDDOJI_Bull,3.0
142,40452.10000000,40500.00000000,40403.67000000,40490.11000000,CDLHANGINGMAN_Bear,1.0
143,40490.11000000,40499.55000000,40426.74000000,40426.74000000,CDLCLOSINGMARUBOZU_Bear,3.0
144,40426.78000000,40497.83000000,40422.04000000,40462.31000000,CDLHARAMI_Bull,2.0
145,40462.32000000,40515.19000000,40454.63000000,40475.94000000,CDLSHOOTINGSTAR_Bear,1.0
146,40475.94000000,40581.42000000,40364.43000000,40394.55000000,NO_PATTERN,0.0
147,40390.72000000,40432.42000000,40362.69000000,40401.13000000,CDLRICKSHAWMAN_Bull,5.0
148,40401.12000000,40459.94000000,40365.20000000,40374.99000000,NO_PATTERN,0.0
149,40374.99000000,40439.65000000,40344.22000000,40355.93000000,NO_PATTERN,0.0
150,40353.92000000,40489.30000000,40351.54000000,40459.78000000,CDLBELTHOLD_Bull,2.0
151,40459.77000000,40472.93000000,40411.27000000,40436.53000000,CDLHARAMI_Bear,1.0
152,40436.54000000,40437.20000000,40355.50000000,40402.06000000,CDLHAMMER_Bull,2.0
153,40402.06000000,40437.19000000,40400.55000000,40406.74000000,CDLLONGLEGGEDDOJI_Bull,3.0
154,40402.07000000,40478.34000000,40402.07000000,40429.66000000,CDLHIKKAKE_Bear,1.0
155,40429.66000000,40489.04000000,40429.66000000,40450.23000000,NO_PATTERN,0.0
156,40450.20000000,40450.42000000,40361.85000000,40376.38000000,CDLBELTHOLD_Bear,2.0
157,40376.37000000,40380.00000000,40341.24000000,40380.00000000,CDLLONGLEGGEDDOJI_Bull,4.0
158,40380.00000000,40425.83000000,40376.98000000,40395.34000000,NO_PATTERN,0.0
159,40395.34000000,40430.21000000,40366.86000000,40396.14000000,CDLRICKSHAWMAN_Bull,5.0
160,40396.14000000,40499.99000000,40396.14000000,40443.37000000,CDLBELTHOLD_Bull,1.0
161,40443.37000000,40500.00000000,40430.00000000,40495.59000000,CDLCLOSINGMARUBOZU_Bull,1.0
162,40495.59000000,40690.00000000,40495.59000000,40625.45000000,CDLBELTHOLD_Bull,1.0
163,40628.21000000,40743.20000000,40628.15000000,40708.02000000,CDLADVANCEBLOCK_Bear,2.0
164,40708.01000000,40769.22000000,40641.19000000,40701.59000000,CDLRICKSHAWMAN_Bull,7.0
165,40703.21000000,40703.22000000,40624.15000000,40683.74000000,NO_PATTERN,0.0
166,40695.17000000,40699.99000000,40605.54000000,40627.88000000,CDLBELTHOLD_Bear,1.0
